Climate,System,Run,Heating [kBtuh]_92,Cooling [kBtuh]_92,Fan [kBtuh]_92,Heat [kW]_92,Cool [kW]_92,Fan [kW]_92,Demand [kW]_92,Heating [kBtuh]_95,Cooling [kBtuh]_95,Fan [kBtuh]_95,Heat [kW]_95,Cool [kW]_95,Fan [kW]_95,Demand [kW]_95,U,SHGC,Demand%Diff,DemandPercentDifference
2A,Elec,18.5,28.61787037037036,0.0,1.5969444444444443,8.395462962962965,0.0,0.4693399074074075,8.864802870370369,28.61879629629629,0.0,1.6091666666666657,8.395833333333334,0.0,0.4745876851851853,8.870421018518519,0.6000000000000002,0.47500000000000014,0.07007576322222225,0.07007576317897131
2A,Gas,18.5,0.0,10.287314814814817,1.6633333333333336,0.0,3.009907407407407,0.48929185185185176,3.4991992592592576,0.0,10.34935185185185,1.6826851851851856,0.0,3.032592592592592,0.49354527777777796,3.5261378703703707,0.6000000000000002,0.47500000000000014,0.8701793512500002,0.8701793512382523
3A,Elec,18.5,37.423703703703666,0.0,1.5352777777777784,10.965833333333324,0.0,0.4498363888888888,11.415669722222223,37.41666666666662,0.0,1.5531481481481477,10.963333333333326,0.0,0.4550724074074073,11.418405740740742,0.6000000000000002,0.47500000000000014,0.016768618972222225,0.016768618946456457
3A,Gas,18.5,0.0,9.206574074074071,1.5190740740740736,0.0,2.6972222222222224,0.44508870370370385,3.1423109259259268,0.0,9.284351851851854,1.533333333333333,0.0,2.7175925925925926,0.4492666666666667,3.166859259259257,0.6000000000000002,0.47500000000000014,0.9841438266944442,0.9841438267049759
4A,Elec,18.5,39.698518518518526,0.0,1.4093518518518524,11.632777777777786,0.0,0.4129400925925926,12.04571787037037,39.68472222222223,0.0,1.4280555555555552,11.628611111111114,0.0,0.41842027777777796,12.047031388888897,0.6000000000000002,0.47500000000000014,-0.021595053648148156,-0.02159505366203965
4A,Gas,18.5,0.0,8.540092592592591,1.484444444444445,0.0,2.5,0.43494222222222234,2.9349422222222237,0.0,8.62574074074074,1.4987962962962962,0.0,2.5279141666666667,0.43914731481481484,2.9670614814814824,0.6000000000000002,0.47500000000000014,1.295593791037037,1.295593791041298
5A,Elec,18.5,54.13824074074076,0.0,1.898703703703703,15.86240740740741,0.0,0.5563201851851853,16.418727592592592,54.12666666666667,0.0,1.9119444444444436,15.859537037037038,0.0,0.5601997222222225,16.419736759259255,0.6000000000000002,0.47500000000000014,0.004340774666666665,0.004340774668870191
5A,Gas,18.5,0.0,8.607314814814817,1.8949074074074077,0.0,2.522222222222222,0.5552078703703706,3.0774300925925937,0.0,8.705370370370373,1.9156481481481489,0.0,2.5499999999999994,0.5612849074074074,3.1112849074074074,0.6000000000000002,0.47500000000000014,1.2633872693888888,1.2633872693712271
6A,Elec,18.5,55.50648148148147,0.0,1.8069444444444445,16.262962962962952,0.0,0.5294347222222222,16.79239768518518,55.49074074074075,0.0,1.816944444444445,16.25842592592592,0.0,0.5323647222222223,16.79079064814814,0.6000000000000002,0.47500000000000014,-0.010554469787037033,-0.010554469773936374
6A,Gas,18.5,0.0,8.076203703703706,1.8699999999999999,0.0,2.3666666666666663,0.5479100000000001,2.9145766666666675,0.0,8.146851851851855,1.8843518518518516,0.0,2.387962962962963,0.552115092592593,2.9400780555555546,0.6000000000000002,0.47500000000000014,1.039523090814815,1.0395230908079784
7,Elec,18.5,64.19046296296293,0.0,2.0039814814814805,18.80712962962963,0.0,0.5871665740740742,19.394296203703718,64.18870370370368,0.0,2.0054629629629623,18.80675925925926,0.0,0.5876006481481484,19.394359907407413,0.6000000000000002,0.47500000000000014,0.0005170966851851852,0.0005170966689125229
7,Gas,18.5,0.0,7.147962962962963,1.8059259259259262,0.0,2.0925925925925926,0.5291362962962964,2.621728888888889,0.0,7.2257407407407435,1.8249074074074085,0.0,2.1138888888888885,0.5346978703703706,2.648586759259259,0.6000000000000002,0.47500000000000014,1.1908098455925922,1.1908098455863665
