Climate,System,Run,Heating [kBtu]_92,Cooling [kBtu]_92,Fan [kBtu]_92,Heat [kWh]_92,Cool [kWh]_92,Fan [kWh]_92,Heating [kBtu]_95,Cooling [kBtu]_95,Fan [kBtu]_95,Heat [kWh]_95,Cool [kWh]_95,Fan [kWh]_95,U,SHGC,Heat%Diff,Cool%Diff,Fan%Diff,HeatingPercentDifference,CoolingPercentDifference,FanPercentDifference
2A,Elec,18.5,21216.585370370372,17446.505185185186,4168.479907407407,6216.463703703704,5111.822037037039,1221.3621591666667,21046.996388888892,17768.790648148148,4235.563611111111,6166.765555555555,5206.2560185185175,1241.015480648148,0.6000000000000002,0.47500000000000014,-0.863850816351852,2.125975805925925,1.8835359897129635,-0.8638508163335764,2.1259758058962763,1.8835359896641104
2A,Gas,18.5,23961.121203703704,18826.30953703703,4409.193518518519,7020.604907407402,5516.098148148145,1291.8959879629629,23772.360833333325,19151.497222222217,4476.155833333334,6965.301203703704,5611.382037037039,1311.5221313888892,0.6000000000000002,0.47500000000000014,-0.858016664842593,1.9601941588703706,1.759144093574074,-0.8580166648173458,1.960194158891946,1.7591440935507063
3A,Elec,18.5,39226.74305555554,13477.516296296295,3836.124907407408,11493.435925925929,3948.915740740738,1123.9845978703704,38952.09842592591,13779.255555555552,3901.4340740740727,11412.964814814806,4037.3222222222216,1143.120183703703,0.6000000000000002,0.47500000000000014,-0.7897867927407403,2.6490869891481483,2.039925447222222,-0.7897867927863359,2.6490869891538207,2.039925447191749
3A,Gas,18.5,45373.194166666675,14570.649166666662,4026.2917592592594,13294.345833333335,4269.202777777777,1179.7034854629633,45061.717592592584,14874.305370370364,4091.843981481483,13203.082962962962,4358.175925925928,1198.9102865740736,0.6000000000000002,0.47500000000000014,-0.7821290901296296,2.429069912972222,1.927945798564814,-0.7821290901307479,2.429069913024698,1.9279457985621522
4A,Elec,18.5,59528.80361111113,8388.841851851847,3536.296203703703,17441.93972222223,2457.9324074074075,1036.1347876851853,59108.25750000001,8621.843055555557,3598.5039814814804,17318.719447500003,2526.2000152777787,1054.361666574074,0.6000000000000002,0.47500000000000014,-0.8045153134537038,3.3957087680185185,2.1215940051111106,-0.804515313405738,3.395708767981107,2.1215940051115587
4A,Gas,18.5,69494.27611111107,9199.88888888889,3683.952129629628,20361.8226612037,2695.572027777777,1079.397973981482,69006.25333333333,9436.28935185185,3744.6836111111106,20218.82225444445,2764.832631944445,1097.1942054629633,0.6000000000000002,0.47500000000000014,-0.8068805239907404,3.073963645259261,1.9642409042500004,-0.8067836978076193,3.07395271656686,1.963876819024791
5A,Elec,18.5,85885.84972222224,6810.460000000002,4536.547777777778,25164.553796296303,1995.4611111111114,1329.2084988888894,85426.76638888888,7019.2342592592595,4592.362222222223,25030.042870370366,2056.6351851851846,1345.5621311111113,0.6000000000000002,0.47500000000000014,-0.6166538300000002,3.846781755472224,1.5310677305092597,-0.6166538299640413,3.8467817554233754,1.5310677304936164
5A,Gas,18.5,101742.56388888888,7489.510370370368,4651.816296296298,29810.57138888888,2194.430555555555,1362.9821748148156,101196.58074074077,7702.163611111109,4711.380833333334,29650.597870370373,2256.734259259259,1380.4345841666666,0.6000000000000002,0.47500000000000014,-0.6244813641018522,3.464858620314814,1.5733048778888887,-0.6244813640687729,3.4648586202726652,1.573304877860137
6A,Elec,18.5,96556.5672222223,4382.406203703704,4241.005092592592,28291.0738888889,1284.041666666667,1242.6144921296302,96034.93166666666,4553.744351851851,4285.3649074074065,28138.23481481482,1334.2462962962966,1255.6119178703705,0.6000000000000002,0.47500000000000014,-0.6298554357962968,5.162016998638891,1.3992573310555552,-0.6298554358406427,5.162016998718371,1.3992573310258938
6A,Gas,18.5,114565.00407407411,4919.9880555555565,4311.706944444445,33567.546203703685,1441.5555555555557,1263.3301347222214,113944.79111111115,5097.621666666666,4360.857499999998,33385.82351851851,1493.6018518518524,1277.7312475000003,0.6000000000000002,0.47500000000000014,-0.6361413132962961,4.585388337620369,1.4686037017314812,-0.6361413133266195,4.585388337512298,1.4686037017380658
7,Elec,18.5,128564.67638888888,3115.8384259259274,4888.145740740742,37669.450000000004,912.9379629629628,1432.2267020370364,127955.1978703704,3265.768333333332,4914.334259259259,37490.87324074073,956.8666666666667,1439.899937962962,0.6000000000000002,0.47500000000000014,-0.5502141424074073,7.027355247037036,0.7834522052685187,-0.5502141424084438,7.027355246844019,0.7834522053074257
7,Gas,18.5,153912.01925925925,3508.740648148147,4872.584907407406,45096.22138888887,1028.0638888888893,1427.667377870371,153191.2437962963,3665.9812037037027,4902.031851851852,44885.03435185185,1074.131481481482,1436.295332592592,0.6000000000000002,0.47500000000000014,-0.548199300648148,6.203247022027779,0.8667316709351849,-0.5481993006794563,6.203247022009122,0.8667316709185321
